,Time (sec),Voltage Set,Current Measure,Current Set,Voltage Measure
0,0.0,0.0,9.130285e-12,10.0,0.09938169
1,0.25,0.5263157894736842,1.495793e-11,10.0,0.09936491
2,0.5,1.0526315789473684,1.49579e-11,10.0,0.09937678
3,0.75,1.5789473684210527,7.549912e-12,10.0,0.09933494
4,1.0,2.1052631578947367,1.678523e-11,10.0,0.09936794
5,1.25,2.631578947368421,1.387139e-11,10.0,0.09930183
6,1.5,3.1578947368421053,1.263673e-11,10.0,0.09937478
7,1.75,3.6842105263157894,1.382203e-11,10.0,0.09936078
8,2.0,4.2105263157894735,1.234042e-11,10.0,0.09932825
9,2.25,4.7368421052631575,1.184655e-11,10.0,0.09934759
10,2.5,5.263157894736842,1.377263e-11,10.0,0.09935483
11,2.75,5.789473684210526,1.387144e-11,10.0,0.09933637
12,3.0,6.315789473684211,1.303183e-11,10.0,0.09937496
13,3.25,6.842105263157895,1.268613e-11,10.0,0.09933372
14,3.5,7.368421052631579,1.441466e-11,10.0,0.09937449
15,3.75,7.894736842105263,1.401956e-11,10.0,0.09939367
16,4.0,8.421052631578947,1.263674e-11,10.0,0.09937757
17,4.25,8.947368421052632,1.248858e-11,10.0,0.09932797
18,4.5,9.473684210526315,1.382202e-11,10.0,0.09934233
19,4.75,10.0,1.935335e-11,10.0,0.09937289
